"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3","2","100nF","","","","IMRANS_LIBRARY:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C2","1","1nF","","","","IMRANS_LIBRARY:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"D1","1","D","","","","IMRANS_LIBRARY:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_2","~"
"J1","1","Conn_01x03_Pin","","","","IMRANS_LIBRARY:PinHeader_1x03_P2.54mm_Vertical","~"
"L1","1","L","","","","Inductor_THT:L_Radial_D10.0mm_P5.00mm_Fastron_07M","~"
"Q1","1","NPN","","","","IMRANS_LIBRARY:TO-92_Inline","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_BJTs"
"R1,R2,R8","3","10k","","","","IMRANS_LIBRARY:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_2","~"
"R3","1","220","","","","IMRANS_LIBRARY:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_2","~"
"R4,R7","2","100K","","","","IMRANS_LIBRARY:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_2","~"
"R5,R6,R9","3","10K","","","","IMRANS_LIBRARY:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_2","~"
"R10","1","3.9K","","","","IMRANS_LIBRARY:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_2","~"
"R11","1","1.2K","","","","IMRANS_LIBRARY:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_2","~"
"U1","1","LM358","","","","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf"
