"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","10nF","","","","IMRANS_LIBRARY:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"D1","1","1N5819","","","","IMRANS_LIBRARY:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_2","http://www.vishay.com/docs/88525/1n5817.pdf"
"J1","1","BOT POWER","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"J2","1","POWER IN","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"J3","1","SHUNT","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"J4","1","COIL OUT","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"Q1","1","IRF3205","","","","IMRANS_LIBRARY:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irf3205.pdf"
"R1","1","47R","","","","IMRANS_LIBRARY:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_2","~"
"R2","1","10k","","","","IMRANS_LIBRARY:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_2","~"
"R3","1","10k","","","","IMRANS_LIBRARY:Potentiometer_Bourns_3386P_Vertical","~"
"R4","1","6.8K","","","","IMRANS_LIBRARY:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_2","~"
"R5","1","10K","","","","IMRANS_LIBRARY:Potentiometer_Bourns_3386P_Vertical","~"
"U1","1","LM358","","","","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf"
"U4","1","LM555xN","","","","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","http://www.ti.com/lit/ds/symlink/lm555.pdf"
